taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
9340068	Palmerara Özdikmen, 2009	9340068	Palmerara Özdikmen, 2009	2	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Trilobita	9273948	Ptychopariida	9583276	Ptychopariidae	3266888	Palmerara	9340068			
4829797	Promioclaenus Trouessart, 1904	4829797	Promioclaenus Trouessart, 1904	1	GENUS	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359			Mioclaenidae	3239504	Promioclaenus	4829797			
4831648	Caenolambda Gazin, 1956	4831648	Caenolambda Gazin, 1956	1	GENUS	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359			Pantolambdidae	4831647	Caenolambda	4831648			
4868456	Torynifer Hall & Clarke, 1894	4868456	Torynifer Hall & Clarke, 1894	8	GENUS	ACCEPTED	Animalia	1	Brachiopoda	110	Rhynchonellata	210			Elythidae	4868453	Torynifer	4868456			
4864444	Linnarssonia Walcott, 1885	4864444	Linnarssonia Walcott, 1885	2	GENUS	ACCEPTED	Animalia	1	Brachiopoda	110	Lingulata	209			Acrotretidae	3252572	Linnarssonia	4864444			
6880765	Fieldia lanceolata Walcott, 1912	6880765	Fieldia lanceolata Walcott, 1912	5	SPECIES	ACCEPTED	Animalia	1	Priapulida	5963150					Fieldiidae	4578792	Fieldia	3267749	Fieldia lanceolata	6880765	
8470524	Crinisarina angelicoides (Merriam, 1940)	8730415	Athyris angelicoides (Merriam, 1940)	1	SPECIES	SYNONYM	Animalia	1	Brachiopoda	110	Rhynchonellata	210			Athyrididae	3252335	Crinisarina	4867754	Athyris angelicoides	8730415	
6713	Cornaceae	6713	Cornaceae	1	FAMILY	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Cornales	949	Cornaceae	6713					
3238858	Ceratopsidae	3238858	Ceratopsidae	14	FAMILY	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358			Ceratopsidae	3238858					
8493563	Hazelia palmata Walcott, 1920	8493563	Hazelia palmata Walcott, 1920	7	SPECIES	ACCEPTED	Animalia	1	Porifera	105					Hazeliidae	3251530	Hazelia	3251531	Hazelia palmata	8493563	
8600726	Tetsaoceras hayesi (McLearn, 1948)	8600726	Tetsaoceras hayesi (McLearn, 1948)	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Cephalopoda	136	Ammonoidea	9559185	Longobarditidae	4622726	Tetsaoceras	4623282	Tetsaoceras hayesi	8600726	
